provider,region,network_latency_ms,response_time_ms,availability_percent,resource_utilization_percent
Azure,West Europe,29,78,99.973,74
GCP,asia-east1,70,96,99.961,95
AWS,ap-south-1,22,70,99.998,48
Azure,East US,43,78,99.963,68
AWS,eu-west-1,40,83,99.903,83
Azure,West Europe,14,62,99.987,64
GCP,us-central1,25,72,99.973,95
GCP,asia-east1,80,118,99.925,59
AWS,us-west-2,52,89,99.985,68
Azure,East US,12,40,99.97,41
GCP,europe-west1,44,66,99.995,72
AWS,ap-south-1,58,92,99.914,69
Azure,West Europe,23,46,99.947,58
Azure,East US,56,90,99.939,59
GCP,us-central1,65,80,99.96,69
Azure,Southeast Asia,66,82,99.968,80
AWS,ap-southeast-1,75,93,99.983,82
AWS,us-east-1,11,29,99.944,81
Azure,West Europe,65,104,99.924,58
GCP,asia-east1,55,98,99.961,47
GCP,us-central1,19,69,99.973,88
AWS,ap-southeast-1,66,106,99.955,64
AWS,ap-south-1,36,76,99.955,87
GCP,us-central1,65,80,99.912,40
GCP,us-central1,50,68,99.923,73
AWS,ap-south-1,56,87,99.987,95
GCP,us-central1,54,98,99.93,52
AWS,us-west-2,79,97,99.902,62
AWS,eu-west-1,60,93,99.953,79
AWS,us-west-2,57,106,99.965,56
GCP,europe-west1,17,57,99.984,95
Azure,East US,48,81,99.983,78
AWS,us-west-2,61,96,99.959,59
AWS,ap-south-1,67,93,99.969,45
Azure,East US,17,60,99.981,92
AWS,eu-west-1,51,93,99.987,56
Azure,West Europe,60,91,99.947,47
AWS,us-west-2,78,91,99.929,70
Azure,East US,56,105,99.91,54
Azure,Central India,23,43,99.922,91
Azure,Southeast Asia,31,51,99.958,42
AWS,us-west-2,79,89,99.988,52
GCP,europe-west1,32,45,99.949,71
GCP,asia-east1,12,47,99.951,72
AWS,ap-south-1,40,60,99.957,49
GCP,asia-south1,47,92,99.954,62
GCP,asia-south1,79,105,99.959,54
AWS,ap-south-1,74,113,99.909,51
AWS,us-west-2,59,105,99.974,45
GCP,europe-west1,31,42,99.916,46
Azure,East US,69,115,99.926,63
GCP,us-east1,33,50,99.966,91
AWS,us-west-2,13,45,99.962,40
Azure,Australia East,20,49,99.936,45
AWS,ap-south-1,42,91,99.962,83
AWS,us-west-2,59,83,99.936,43
Azure,Central India,19,55,99.926,76
Azure,West Europe,15,62,99.994,51
AWS,ap-south-1,18,54,99.972,55
GCP,europe-west1,15,44,99.901,87
AWS,ap-southeast-1,34,71,99.956,71
Azure,West Europe,44,78,99.954,81
GCP,asia-south1,17,27,99.984,91
AWS,ap-south-1,36,48,99.919,85
AWS,us-west-2,16,35,99.972,58
GCP,asia-east1,32,55,99.996,72
Azure,East US,12,59,99.996,59
AWS,us-east-1,39,53,99.947,90
AWS,ap-south-1,33,73,99.931,64
AWS,us-east-1,53,65,99.993,58
AWS,us-west-2,36,61,99.965,88
GCP,asia-east1,75,124,99.916,85
Azure,Central India,26,40,99.905,93
Azure,Australia East,38,69,99.932,66
GCP,asia-south1,52,93,99.938,77
Azure,East US,26,68,99.911,48
AWS,us-east-1,68,118,99.996,84
AWS,ap-south-1,58,75,99.973,76
Azure,Australia East,23,43,99.98,69
GCP,europe-west1,19,50,99.972,45
Azure,Central India,79,89,99.964,45
Azure,Australia East,59,96,99.984,51
GCP,asia-south1,50,84,99.954,59
AWS,ap-south-1,53,97,99.967,63
Azure,Southeast Asia,27,55,99.902,57
GCP,us-east1,78,93,99.929,41
AWS,us-west-2,52,63,99.981,93
GCP,asia-south1,57,67,99.95,56
Azure,Southeast Asia,16,44,99.968,95
GCP,us-central1,71,112,99.998,91
AWS,ap-south-1,74,89,99.981,59
AWS,us-east-1,41,83,99.946,85
AWS,eu-west-1,60,105,99.946,52
AWS,ap-southeast-1,23,49,99.991,45
Azure,Australia East,66,112,99.951,40
AWS,eu-west-1,69,102,99.995,74
GCP,us-central1,80,96,99.918,46
GCP,asia-south1,57,95,99.95,54
Azure,Central India,26,54,99.954,65
GCP,asia-east1,63,87,99.912,87
Azure,Australia East,25,52,99.925,92
GCP,us-east1,48,82,99.913,56
GCP,europe-west1,39,84,99.997,82
Azure,Central India,65,107,99.912,67
Azure,Central India,66,115,99.902,52
AWS,ap-southeast-1,21,53,99.923,67
AWS,ap-south-1,61,77,99.972,44
AWS,us-east-1,57,96,99.96,71
AWS,ap-south-1,76,88,99.951,47
AWS,eu-west-1,23,42,99.9,79
GCP,us-central1,64,77,99.921,64
AWS,us-east-1,29,59,99.972,51
Azure,Southeast Asia,65,106,99.956,76
AWS,ap-south-1,57,91,99.971,77
Azure,Central India,20,31,99.945,92
GCP,asia-south1,47,67,99.968,69
GCP,europe-west1,33,71,99.951,92
Azure,West Europe,24,74,99.983,42
AWS,ap-south-1,16,36,99.959,77
AWS,eu-west-1,78,111,99.991,73
AWS,us-east-1,49,60,99.996,84
Azure,East US,28,55,99.988,51
Azure,East US,57,84,99.997,88
AWS,us-east-1,60,74,99.934,51
GCP,us-central1,33,62,99.928,62
Azure,Australia East,65,81,99.97,74
AWS,ap-southeast-1,69,118,99.952,57
GCP,europe-west1,61,87,99.98,41
Azure,Southeast Asia,40,81,99.943,75
AWS,us-east-1,58,95,99.9,92
GCP,asia-east1,70,103,99.913,70
Azure,Australia East,24,55,99.916,66
Azure,West Europe,12,29,99.902,82
Azure,Southeast Asia,28,49,99.908,91
Azure,Central India,52,69,99.984,72
Azure,Australia East,15,31,99.977,86
GCP,us-central1,34,84,99.999,93
AWS,ap-southeast-1,70,97,99.932,48
Azure,Central India,74,87,99.931,82
Azure,Central India,55,85,99.926,58
Azure,West Europe,26,68,99.991,60
Azure,Southeast Asia,45,60,99.914,51
AWS,ap-south-1,64,81,99.929,85
AWS,ap-south-1,27,67,99.903,57
AWS,eu-west-1,65,92,99.932,77
AWS,us-west-2,15,45,99.93,86
Azure,Australia East,52,94,99.917,75
GCP,asia-east1,76,89,99.953,40
GCP,us-east1,79,105,99.983,42
GCP,asia-east1,35,48,99.99,62
AWS,eu-west-1,58,101,99.955,64
GCP,asia-east1,77,103,99.924,55
AWS,ap-south-1,72,85,99.991,55
Azure,East US,27,66,99.916,68
AWS,ap-southeast-1,22,56,99.921,70
GCP,asia-south1,78,115,99.974,83
GCP,us-east1,46,65,99.981,67
Azure,East US,64,85,99.96,77
Azure,West Europe,31,55,99.99,49
AWS,us-east-1,14,48,99.989,52
AWS,eu-west-1,47,82,99.984,75
Azure,East US,58,97,99.956,66
Azure,West Europe,17,54,99.959,86
AWS,ap-southeast-1,63,110,99.994,57
Azure,Southeast Asia,59,69,99.924,55
GCP,asia-east1,10,27,99.966,55
AWS,us-east-1,44,58,99.992,45
GCP,europe-west1,16,52,99.905,81
AWS,eu-west-1,23,41,99.946,91
Azure,West Europe,67,78,99.96,83
Azure,East US,10,24,99.974,60
Azure,East US,29,76,99.932,91
AWS,us-west-2,70,115,99.97,94
AWS,eu-west-1,23,65,99.977,83
Azure,Australia East,52,84,99.978,54
AWS,us-west-2,40,85,99.932,49
AWS,us-west-2,74,98,99.956,42
AWS,ap-south-1,16,52,99.954,62
AWS,us-east-1,54,65,99.959,49
GCP,asia-east1,69,96,99.98,57
AWS,eu-west-1,73,99,99.937,91
AWS,eu-west-1,67,95,99.908,67
AWS,us-east-1,47,64,99.947,53
Azure,Southeast Asia,46,93,99.993,95
AWS,us-east-1,72,94,99.937,40
Azure,East US,45,88,99.961,95
AWS,ap-southeast-1,48,90,99.927,58
Azure,Southeast Asia,55,72,99.942,53
AWS,us-west-2,12,33,99.979,40
Azure,Southeast Asia,45,61,99.978,72
Azure,West Europe,69,83,99.982,65
AWS,ap-southeast-1,41,82,99.92,94
AWS,us-west-2,68,80,99.933,47
AWS,ap-southeast-1,10,45,99.911,40
Azure,Southeast Asia,15,27,99.993,79
Azure,Central India,20,45,99.96,54
AWS,ap-south-1,73,123,99.911,87
Azure,West Europe,43,75,99.997,43
GCP,asia-south1,39,79,99.929,83
Azure,East US,74,86,99.92,51
GCP,europe-west1,19,61,99.992,54
GCP,europe-west1,27,41,99.908,63
GCP,europe-west1,73,106,99.929,70
GCP,europe-west1,16,55,99.991,85
GCP,us-central1,13,63,99.987,64
AWS,us-west-2,72,98,99.939,62
Azure,West Europe,56,76,99.97,92
GCP,us-east1,75,93,99.974,71
Azure,Southeast Asia,34,72,99.977,53
GCP,asia-south1,38,59,99.906,62
AWS,ap-south-1,10,20,99.976,89
AWS,ap-southeast-1,70,108,99.933,52
AWS,ap-south-1,59,74,99.969,46
GCP,us-east1,24,59,99.906,88
Azure,East US,76,97,99.992,72
AWS,eu-west-1,58,75,99.971,62
AWS,ap-southeast-1,45,71,99.937,51
AWS,us-east-1,12,51,99.951,77
AWS,eu-west-1,27,44,99.903,68
Azure,Central India,35,84,99.973,92
GCP,asia-east1,53,83,99.949,70
AWS,eu-west-1,26,45,99.973,86
GCP,europe-west1,45,63,99.941,81
AWS,ap-southeast-1,30,74,99.977,71
Azure,East US,69,104,99.979,59
Azure,Australia East,23,47,99.928,48
Azure,Central India,61,97,99.958,61
AWS,ap-southeast-1,62,112,99.965,42
AWS,us-west-2,22,67,99.921,67
GCP,europe-west1,19,35,99.953,66
Azure,Southeast Asia,36,75,99.97,73
AWS,eu-west-1,10,35,99.913,75
GCP,asia-east1,59,95,99.916,48
AWS,ap-southeast-1,12,51,99.928,63
Azure,Central India,42,77,99.987,90
Azure,West Europe,13,60,99.933,94
AWS,us-west-2,20,58,99.903,77
AWS,ap-south-1,16,46,99.913,79
AWS,us-east-1,36,75,99.907,92
Azure,Australia East,25,44,99.994,93
AWS,ap-southeast-1,36,76,99.924,89
AWS,ap-south-1,31,62,99.969,86
Azure,East US,26,61,99.975,90
GCP,asia-south1,79,95,99.997,62
AWS,us-east-1,73,104,99.907,55
AWS,us-west-2,26,54,99.925,93
Azure,Central India,78,89,99.989,72
GCP,europe-west1,26,36,99.951,86
Azure,Central India,54,85,99.992,58
AWS,ap-southeast-1,62,74,99.927,45
AWS,ap-southeast-1,19,34,99.959,56
AWS,us-east-1,69,98,99.972,50
AWS,us-east-1,33,72,99.994,83
GCP,us-east1,23,33,99.926,41
Azure,East US,54,95,99.938,87
AWS,ap-southeast-1,28,53,99.962,54
Azure,Central India,59,72,99.958,91
Azure,West Europe,24,48,99.903,91
AWS,ap-south-1,14,55,99.923,51
GCP,europe-west1,59,79,99.987,44
GCP,us-central1,50,81,99.976,83
Azure,West Europe,40,52,99.9,87
Azure,West Europe,41,88,99.972,56
GCP,asia-east1,34,79,99.973,44
GCP,asia-east1,50,95,99.954,61
Azure,Southeast Asia,56,66,99.908,72
AWS,ap-south-1,65,75,99.993,75
Azure,Central India,26,43,99.908,45
AWS,ap-south-1,57,104,99.911,41
Azure,Central India,14,64,99.924,44
AWS,eu-west-1,52,83,99.995,51
GCP,us-central1,29,69,99.917,70
GCP,europe-west1,27,69,99.98,70
AWS,us-east-1,19,56,99.996,58
GCP,us-east1,34,75,99.955,65
GCP,europe-west1,40,80,99.947,49
AWS,us-west-2,51,65,99.918,54
Azure,East US,41,80,99.959,87
Azure,Southeast Asia,54,88,99.929,44
Azure,East US,18,63,99.927,52
AWS,us-east-1,76,116,99.902,72
GCP,us-central1,10,23,99.971,42
Azure,Southeast Asia,71,120,99.924,67
Azure,Southeast Asia,39,86,99.963,84
AWS,us-east-1,32,76,99.945,50
AWS,ap-south-1,62,103,99.985,45
Azure,East US,22,60,99.906,72
Azure,East US,41,74,99.929,42
Azure,Central India,78,95,99.942,92
AWS,us-west-2,12,55,99.95,74
GCP,europe-west1,24,64,99.98,69
AWS,us-east-1,26,36,99.913,92
GCP,europe-west1,22,40,99.994,92
GCP,asia-south1,79,104,99.996,61
AWS,ap-southeast-1,20,67,99.911,48
Azure,Australia East,48,82,99.906,76
Azure,Southeast Asia,25,74,99.932,66
AWS,ap-south-1,30,71,99.92,73
Azure,East US,50,76,99.997,65
GCP,us-east1,74,101,99.945,41
AWS,eu-west-1,54,98,99.933,58
GCP,us-east1,53,71,99.959,46
Azure,Central India,54,90,99.964,74
AWS,us-east-1,31,57,99.935,93
GCP,asia-south1,33,67,99.916,79
Azure,East US,65,108,99.903,86
GCP,us-central1,29,46,99.935,88
Azure,Australia East,61,98,99.951,67
GCP,asia-south1,54,103,99.975,70
GCP,asia-east1,31,54,99.935,59
GCP,us-central1,49,76,99.998,47
Azure,Southeast Asia,45,79,99.918,40
Azure,East US,69,89,99.973,42
Azure,East US,17,58,99.965,48
AWS,ap-southeast-1,79,120,99.948,57
AWS,us-west-2,60,95,99.979,46
AWS,ap-south-1,23,61,99.945,79
Azure,Central India,28,50,99.957,89
AWS,us-east-1,73,95,99.903,94
Azure,West Europe,26,64,99.996,59
GCP,asia-east1,51,63,99.902,86
Azure,East US,42,76,99.955,83
Azure,Central India,42,90,99.922,78
AWS,us-west-2,16,41,99.983,69
AWS,ap-southeast-1,64,96,99.988,73
Azure,East US,71,120,99.93,94
AWS,ap-south-1,52,65,99.921,52
Azure,Central India,50,91,99.954,62
AWS,us-east-1,36,70,99.939,70
Azure,East US,79,101,99.947,93
Azure,East US,62,88,99.931,61
Azure,Southeast Asia,76,103,99.987,65
AWS,eu-west-1,12,34,99.931,62
AWS,eu-west-1,28,41,99.945,40
Azure,Southeast Asia,48,84,99.984,70
GCP,us-central1,67,101,99.965,68
AWS,us-west-2,44,68,99.92,63
Azure,West Europe,53,101,99.977,46
GCP,us-central1,26,45,99.984,65
AWS,ap-south-1,73,94,99.911,77
GCP,us-east1,34,64,99.983,69
Azure,West Europe,80,106,99.939,51
Azure,Central India,77,110,99.978,94
AWS,us-east-1,63,96,99.964,88
AWS,ap-southeast-1,20,55,99.944,94
GCP,asia-south1,16,56,99.926,55
AWS,us-west-2,57,93,99.983,50
GCP,us-central1,39,58,99.944,85
AWS,eu-west-1,66,111,99.909,40
Azure,West Europe,70,87,99.972,94
AWS,us-east-1,27,55,99.983,57
AWS,ap-south-1,36,52,99.911,83
Azure,Central India,76,104,99.954,48
GCP,us-central1,43,68,99.96,69
Azure,Central India,75,106,99.991,90
AWS,ap-south-1,11,60,99.99,86
Azure,Central India,58,95,99.997,52
GCP,us-central1,37,51,99.914,71
Azure,Australia East,23,39,99.917,65
Azure,Central India,50,73,99.97,81
AWS,eu-west-1,63,93,99.991,45
GCP,asia-east1,61,111,99.976,84
GCP,asia-south1,60,88,99.949,93
GCP,asia-south1,28,58,99.912,54
GCP,asia-east1,34,60,99.904,48
GCP,asia-east1,35,79,99.96,94
Azure,Southeast Asia,57,96,99.905,77
AWS,ap-southeast-1,12,45,99.966,91
Azure,Australia East,22,72,99.924,68
GCP,asia-south1,41,79,99.949,51
GCP,us-central1,16,55,99.929,58
GCP,us-east1,46,66,99.953,95
GCP,us-central1,28,46,99.976,79
AWS,eu-west-1,63,95,99.963,85
AWS,us-east-1,69,101,99.986,56
AWS,ap-south-1,55,83,99.955,91
Azure,East US,66,108,99.91,88
AWS,us-west-2,39,74,99.929,95
GCP,europe-west1,34,64,99.943,77
AWS,ap-southeast-1,56,92,99.916,54
Azure,Australia East,56,98,99.954,73
AWS,us-west-2,11,32,99.993,60
AWS,ap-south-1,16,60,99.991,65
AWS,eu-west-1,80,108,99.934,62
AWS,eu-west-1,70,88,99.961,44
Azure,Australia East,73,105,99.901,69
Azure,Australia East,80,109,99.904,46
Azure,West Europe,21,53,99.946,77
AWS,us-west-2,32,54,99.921,61
Azure,Southeast Asia,58,91,99.997,53
GCP,asia-south1,24,35,99.99,41
Azure,Australia East,45,71,99.93,74
Azure,Central India,25,71,99.966,94
Azure,West Europe,70,118,99.943,60
GCP,us-central1,57,88,99.976,51
Azure,Southeast Asia,77,114,99.909,49
AWS,us-east-1,41,63,99.915,51
AWS,us-west-2,76,88,99.949,46
AWS,us-west-2,10,41,99.9,90
GCP,asia-south1,73,89,99.937,45
AWS,us-east-1,57,84,99.92,51
GCP,us-east1,55,94,99.984,45
AWS,ap-south-1,73,85,99.959,45
GCP,us-central1,77,92,99.924,79
AWS,us-east-1,78,101,99.917,61
GCP,europe-west1,65,100,99.999,45
AWS,us-east-1,52,64,99.945,75
AWS,us-east-1,38,59,99.962,55
AWS,ap-southeast-1,21,31,99.914,70
AWS,us-west-2,61,88,99.937,68
GCP,us-east1,71,88,99.962,50
GCP,us-central1,31,76,99.981,40
GCP,us-east1,56,82,99.936,89
AWS,us-west-2,46,58,99.948,83
Azure,West Europe,77,98,99.934,79
Azure,East US,50,99,99.902,76
GCP,us-east1,16,48,99.944,47
GCP,us-central1,17,62,99.968,73
AWS,us-west-2,53,95,99.996,64
GCP,asia-east1,75,117,99.927,84
AWS,ap-south-1,11,31,99.949,67
GCP,asia-east1,35,48,99.957,63
Azure,East US,31,79,99.953,77
AWS,ap-southeast-1,44,59,99.916,64
AWS,ap-southeast-1,54,79,99.958,59
Azure,West Europe,11,47,99.923,54
Azure,East US,48,86,99.962,52
AWS,eu-west-1,67,81,99.998,56
GCP,asia-south1,67,102,99.996,51
Azure,West Europe,14,54,99.952,80
GCP,asia-east1,29,53,99.932,90
AWS,us-west-2,44,72,99.939,59
GCP,us-east1,48,74,99.973,65
AWS,ap-southeast-1,61,90,99.902,70
Azure,Australia East,78,108,99.931,62
AWS,us-west-2,47,87,99.942,60
Azure,Australia East,63,101,99.992,84
Azure,Southeast Asia,33,71,99.923,40
GCP,europe-west1,67,83,99.921,73
Azure,Southeast Asia,42,83,99.958,66
Azure,Australia East,30,71,99.951,87
GCP,europe-west1,60,72,99.937,51
AWS,us-west-2,66,98,99.915,77
GCP,us-east1,50,91,99.985,75
Azure,East US,76,108,99.955,89
Azure,East US,21,43,99.967,61
AWS,eu-west-1,78,128,99.916,60
AWS,us-west-2,12,52,99.942,42
AWS,ap-south-1,42,86,99.952,64
AWS,ap-southeast-1,68,100,99.909,83
Azure,Central India,12,43,99.969,85
AWS,ap-southeast-1,70,103,99.942,42
AWS,eu-west-1,34,70,99.993,54
AWS,ap-southeast-1,61,97,99.987,67
AWS,us-east-1,38,84,99.938,66
AWS,us-east-1,28,52,99.992,67
Azure,West Europe,17,35,99.928,43
GCP,asia-south1,55,65,99.989,58
Azure,East US,46,78,99.917,80
AWS,ap-southeast-1,78,89,99.922,64
AWS,eu-west-1,19,67,99.948,90
GCP,us-east1,41,84,99.988,66
Azure,Australia East,19,42,99.957,92
GCP,us-east1,37,61,99.946,72
GCP,us-east1,54,95,99.956,48
GCP,asia-east1,10,31,99.949,82
GCP,asia-east1,27,56,99.954,78
AWS,ap-south-1,39,64,99.95,95
GCP,asia-south1,77,108,99.994,62
AWS,ap-south-1,45,64,99.953,86
AWS,eu-west-1,31,41,99.913,85
GCP,us-east1,58,74,99.962,44
Azure,West Europe,50,64,99.941,77
GCP,europe-west1,14,57,99.96,56
AWS,us-east-1,75,93,99.962,66
AWS,eu-west-1,65,90,99.929,40
Azure,Australia East,30,62,99.999,94
GCP,europe-west1,20,40,99.946,41
AWS,us-west-2,10,41,99.93,95
AWS,us-west-2,29,61,99.92,50
GCP,asia-south1,65,93,99.9,65
Azure,Southeast Asia,72,104,99.909,63
Azure,East US,39,75,99.911,42
GCP,asia-south1,71,120,99.997,95
Azure,Central India,15,60,99.922,84
GCP,us-central1,19,61,99.937,94
GCP,us-east1,57,71,99.924,83
Azure,Southeast Asia,19,54,99.902,56
Azure,West Europe,68,94,99.978,62
AWS,ap-south-1,68,107,99.943,61
GCP,us-east1,36,49,99.94,65
AWS,ap-southeast-1,12,45,99.962,74
AWS,ap-south-1,70,99,99.969,81
AWS,ap-south-1,72,99,99.974,84
GCP,asia-south1,27,39,99.977,67
GCP,us-central1,45,89,99.986,65
GCP,europe-west1,28,39,99.997,59
AWS,ap-south-1,72,104,99.957,84
AWS,ap-south-1,48,76,99.903,53
AWS,us-west-2,30,40,99.993,47
GCP,us-central1,41,84,99.929,76
Azure,Central India,35,63,99.948,61
GCP,us-central1,80,100,99.916,48
AWS,us-west-2,72,83,99.965,71
GCP,europe-west1,38,55,99.933,95
Azure,Australia East,32,42,99.962,64
GCP,europe-west1,74,95,99.979,61
Azure,West Europe,78,120,99.97,94
Azure,East US,45,77,99.957,84
AWS,eu-west-1,48,73,99.912,87
Azure,East US,26,52,99.998,79
Azure,Southeast Asia,16,48,99.996,83
Azure,East US,34,44,99.983,47
AWS,ap-south-1,55,83,99.941,67
GCP,europe-west1,31,42,99.993,64
AWS,ap-southeast-1,58,79,99.905,41
GCP,us-east1,80,100,99.985,40
GCP,asia-south1,50,89,99.956,67
GCP,us-central1,33,60,99.972,59
GCP,us-central1,70,110,99.936,87
Azure,Australia East,30,72,99.976,70
AWS,eu-west-1,53,66,99.942,53
AWS,eu-west-1,42,82,99.922,55
AWS,ap-southeast-1,25,36,99.964,89
GCP,asia-south1,15,53,99.993,73
AWS,us-east-1,44,62,99.99,76
GCP,europe-west1,53,91,99.993,67
AWS,us-east-1,41,83,99.956,73
AWS,eu-west-1,54,100,99.949,72
AWS,us-west-2,23,56,99.958,52
Azure,Australia East,58,70,99.96,86
AWS,us-west-2,27,66,99.98,42
Azure,Australia East,52,70,99.922,81
AWS,eu-west-1,66,76,99.945,63
Azure,Central India,26,62,99.996,91
Azure,Southeast Asia,72,90,99.997,59
AWS,us-west-2,74,103,99.993,83
AWS,ap-southeast-1,56,84,99.909,89
AWS,us-east-1,26,59,99.924,70
AWS,ap-southeast-1,11,50,99.977,75
GCP,asia-south1,20,55,99.957,82
AWS,ap-south-1,30,80,99.96,86
Azure,East US,44,93,99.901,62
AWS,eu-west-1,66,91,99.993,49
AWS,ap-south-1,35,50,99.948,94
Azure,Australia East,47,86,99.96,70
Azure,East US,30,54,99.901,59
GCP,asia-east1,37,60,99.934,44
Azure,West Europe,28,53,99.902,65
GCP,europe-west1,44,80,99.969,51
Azure,Central India,25,73,99.926,65
AWS,us-east-1,36,51,99.977,90
GCP,asia-east1,59,89,99.988,64
GCP,asia-south1,76,101,99.906,61
AWS,ap-south-1,30,63,99.956,62
AWS,us-west-2,27,45,99.928,74
Azure,Australia East,40,72,99.979,52
Azure,Southeast Asia,23,36,99.984,47
GCP,europe-west1,36,68,99.9,58
GCP,us-central1,32,59,99.948,81
Azure,Central India,38,86,99.939,73
AWS,ap-south-1,58,97,99.944,71
Azure,East US,43,85,99.922,94
Azure,Central India,43,54,99.962,79
AWS,us-west-2,72,83,99.995,43
Azure,Central India,24,69,99.913,66
AWS,eu-west-1,71,87,99.917,42
Azure,Central India,80,116,99.997,50
AWS,eu-west-1,41,83,99.932,63
AWS,ap-south-1,30,75,99.955,42
GCP,us-east1,33,65,99.918,49
AWS,us-east-1,72,88,99.997,77
Azure,Southeast Asia,21,48,99.914,61
AWS,ap-south-1,10,46,99.987,95
AWS,ap-southeast-1,60,98,99.939,53
GCP,europe-west1,23,68,99.929,70
Azure,Central India,44,55,99.941,86
GCP,us-east1,73,93,99.909,84
AWS,ap-south-1,44,79,99.966,80
AWS,us-east-1,31,45,99.997,65
Azure,Australia East,39,50,99.92,53
Azure,East US,60,107,99.91,90
Azure,East US,27,43,99.901,88
Azure,West Europe,69,94,99.972,61
Azure,East US,26,75,99.952,93
GCP,europe-west1,53,63,99.927,71
AWS,eu-west-1,12,34,99.978,51
GCP,us-central1,42,84,99.946,49
AWS,us-east-1,56,101,99.919,47
GCP,us-east1,50,100,99.939,87
AWS,ap-south-1,47,79,99.925,54
Azure,Southeast Asia,25,48,99.995,42
AWS,us-east-1,68,107,99.996,50
GCP,asia-south1,28,41,99.918,65
AWS,ap-south-1,11,28,99.928,69
Azure,Southeast Asia,24,41,99.935,74
AWS,us-east-1,37,69,99.998,42
GCP,asia-east1,45,78,99.955,73
GCP,asia-east1,52,77,99.962,60
GCP,us-central1,65,97,99.948,86
AWS,us-west-2,30,68,99.969,87
AWS,ap-south-1,73,103,99.996,60
Azure,West Europe,37,63,99.93,63
Azure,West Europe,40,57,99.956,52
GCP,europe-west1,40,87,99.995,77
AWS,ap-southeast-1,25,68,99.93,45
GCP,us-east1,16,62,99.988,59
GCP,asia-east1,10,58,99.932,60
AWS,ap-southeast-1,14,27,99.967,68
AWS,ap-south-1,42,89,99.989,85
GCP,us-central1,70,94,99.939,57
Azure,East US,37,52,99.944,60
AWS,us-west-2,49,59,99.914,74
Azure,East US,18,46,99.96,61
Azure,Central India,17,39,99.953,58
Azure,Southeast Asia,12,43,99.958,94
GCP,europe-west1,62,102,99.995,49
GCP,asia-east1,17,51,99.95,86
GCP,europe-west1,55,102,99.994,53
Azure,Australia East,72,92,99.976,45
AWS,ap-southeast-1,70,109,99.939,82
GCP,asia-south1,34,45,99.993,60
AWS,eu-west-1,14,60,99.994,58
AWS,us-east-1,79,94,99.904,43
GCP,us-east1,50,74,99.977,69
Azure,East US,48,59,99.936,62
GCP,asia-east1,67,78,99.988,63
Azure,Australia East,43,82,99.958,91
AWS,ap-south-1,76,102,99.988,76
GCP,europe-west1,72,87,99.915,86
Azure,Central India,58,92,99.991,65
GCP,asia-south1,59,94,99.985,75
AWS,ap-south-1,56,72,99.969,79
GCP,us-east1,30,48,99.992,67
GCP,europe-west1,73,114,99.912,71
Azure,West Europe,66,113,99.981,88
Azure,West Europe,16,52,99.908,40
GCP,asia-south1,60,95,99.957,78
Azure,East US,35,74,99.96,40
Azure,Southeast Asia,46,90,99.918,59
GCP,us-east1,24,63,99.983,43
AWS,ap-south-1,26,48,99.954,71
AWS,ap-south-1,14,39,99.908,90
AWS,us-west-2,29,39,99.983,81
AWS,ap-south-1,59,94,99.982,49
GCP,europe-west1,44,85,99.963,82
GCP,us-central1,26,47,99.986,54
GCP,us-central1,39,76,99.912,41
GCP,us-central1,14,29,99.909,93
AWS,us-east-1,56,76,99.941,95
AWS,us-east-1,14,46,99.943,50
Azure,Australia East,47,87,99.928,70
Azure,Australia East,62,74,99.998,70
AWS,eu-west-1,76,119,99.969,41
AWS,us-east-1,25,52,99.997,93
Azure,Australia East,46,56,99.914,81
AWS,us-east-1,14,52,99.992,66
Azure,Australia East,57,90,99.937,55
Azure,East US,78,100,99.904,49
AWS,eu-west-1,77,101,99.958,43
GCP,asia-south1,43,64,99.995,43
AWS,us-east-1,76,111,99.921,88
AWS,eu-west-1,47,71,99.983,54
AWS,eu-west-1,68,105,99.994,65
Azure,Central India,42,65,99.911,57
Azure,West Europe,40,50,99.954,64
GCP,asia-east1,55,75,99.91,70
Azure,West Europe,35,52,99.918,57
GCP,asia-east1,27,51,99.965,83
AWS,ap-southeast-1,17,62,99.959,85
Azure,Central India,57,74,99.959,70
Azure,Australia East,77,98,99.979,40
Azure,Southeast Asia,57,77,99.93,47
Azure,Australia East,33,71,99.998,83
Azure,Australia East,26,53,99.902,69
AWS,us-east-1,48,80,99.969,66
GCP,us-central1,43,70,99.908,70
Azure,East US,49,95,99.907,62
Azure,West Europe,48,70,99.991,74
Azure,Southeast Asia,75,123,99.926,41
AWS,us-west-2,77,111,99.927,95
AWS,ap-southeast-1,16,51,99.983,73
AWS,ap-southeast-1,77,101,99.929,87
AWS,eu-west-1,42,56,99.988,63
Azure,Australia East,45,60,99.955,81
Azure,Central India,37,73,99.935,54
AWS,ap-south-1,58,87,99.961,77
Azure,Southeast Asia,36,61,99.914,54
GCP,asia-east1,31,44,99.968,84
Azure,East US,15,47,99.955,54
GCP,us-east1,43,83,99.969,95
GCP,asia-south1,23,57,99.97,54
AWS,us-west-2,76,122,99.906,91
GCP,asia-east1,58,82,99.924,74
GCP,us-central1,44,54,99.906,95
Azure,West Europe,72,87,99.929,41
Azure,East US,62,103,99.995,61
GCP,us-central1,21,48,99.905,59
GCP,europe-west1,28,52,99.955,84
Azure,West Europe,76,118,99.934,82
Azure,Central India,65,97,99.925,47
Azure,Southeast Asia,11,34,99.902,76
Azure,Australia East,45,79,99.937,71
